Well Name,Date,PDHG_Dep_ft,Ql_blpd,Gor_scf_bbl,"WCT, %",Choke,Freq_Hz,WHP_psi,WHT_degF,PDP_psi
W_ESP_1,2/12/2015,8412,1799,76.7,60.14%,100.00%,45,130.5,129.6,3274.9
W_ESP_2,2/22/2015,8153,7179,104.8,2.08%,33.00%,50,130.5,129.6,3282.2
W_ESP_2,2/25/2015,8153,7166,104.9,2.07%,33.00%,50,851.2,136.6,3821.3
W_ESP_2,2/27/2015,8153,7156,105.9,2.12%,33.00%,50,846.8,136.9,3815.9
W_ESP_3,2/28/2015,7120,4986,124.9,4.97%,35.00%,57,687.3,190.6,3260.4
W_ESP_2,3/1/2015,8153,7204,105.1,2.11%,33.00%,50,838,139.3,3807.2
W_ESP_3,3/3/2015,7120,4952,124.9,5.09%,35.00%,57,684.4,190.6,3257.5
W_ESP_2,3/5/2015,8153,7168,105.2,2.12%,33.00%,50,838,139.3,3807.2
W_ESP_2,3/8/2015,8153,7078.69,105.1,2.38%,33.00%,50,830,138,3798
W_ESP_3,3/9/2015,7120,4927,123.2,5.58%,35.00%,57,680.05,190.58,3253.91
W_ESP_3,3/12/2015,7120,4956.2,122.2,5.23%,35.00%,57,678.6,190.58,3252.4
W_ESP_2,3/13/2015,8153,7146,124.8,1.99%,33.00%,50,787.4,137.8,3756.9
W_ESP_3,3/14/2015,7120,4941,123.9,5.26%,35.00%,57,662.7,190.9,3252.2
W_ESP_2,3/15/2015,8153,7152,124.8,1.99%,33.00%,50,784.45,139.64,3753.6
W_ESP_2,3/16/2015,8153,7131,105,2.15%,33.00%,50,809.1,131.36,3777.5
W_ESP_2,3/17/2015,8153,7054,126.2,2.04%,31.00%,50,814.9,139.1,3784
W_ESP_2,3/19/2015,8153,7153,125.3,2.04%,33.00%,50,771.4,135.32,3748.7
W_ESP_2,3/20/2015,8153,7143,125.4,2.02%,33.00%,50,774.3,135.32,3747.8
W_ESP_3,3/21/2015,7120,4936,122.6,5.29%,35.00%,57,668.45,190.4,3243.5
W_ESP_2,3/22/2015,8153,7158,125.8,2.04%,33.00%,50,759.8,139.8,3730.4
W_ESP_2,3/23/2015,8153,7188,124.5,2.03%,33.00%,50,758.35,135.5,3728.9
W_ESP_3,3/24/2015,7120,4933,121.9,5.37%,33.00%,57,668.5,190.8,3244.5
W_ESP_3,3/25/2015,7120,4912,124,5.39%,35.00%,57,668.5,190.6,3244.5
W_ESP_2,3/26/2015,8153,7178,125.8,1.99%,33.00%,50,259,184.1,3728.9
W_ESP_2,3/27/2015,8153,8008,105.1,2.25%,33.00%,55,961.4,141,3939.2
W_ESP_2,3/28/2015,8153,7998,105.4,2.25%,34.00%,55,942.5,121.1,3717.5
W_ESP_2,3/30/2015,8153,7919,105.6,2.20%,34.00%,55,964.5,145.76,3940.7
W_ESP_3,3/30/2015,7120,4912,124.4,5.42%,35.00%,57,665.7,190.6,3241.6
