Sample #,Well,D (1/64in),"Pwh, Psig",γo,"GLR, scf/STB","QL, STB/D"
1,SR-17,71.424,175.9307301,1.063250883,152,10853.69614
2,SR-17,71.424,176.0757678,1.063250883,152,11019.74712
3,SR-17,71.424,174.9154662,1.063250883,152,11125.41593
4,SR-17,71.424,175.7856924,1.063250883,152,11110.32038
5,SR-17,71.424,175.2055416,1.063250883,152,11095.22484
6,SR-17,71.424,175.9307301,1.063250883,152,11095.22484
7,SR-17,71.424,175.9307301,1.063250883,152,11004.65158
8,SR-17,71.424,175.495617,1.063250883,152,10868.79168
9,SR-17,71.424,175.6406547,1.063250883,152,10808.4095
10,SR-17,71.424,175.6406547,1.063250883,152,10944.2694
11,SR-17,71.424,175.6406547,1.063250883,152,11004.65158
12,SR-17,71.424,174.9154662,1.063250883,152,10883.88722
13,SR-17,71.424,175.9307301,1.063250883,152,10883.88722
14,SR-17,71.424,175.0605039,1.063250883,152,11200.89365
15,SR-17,71.424,175.7856924,1.063250883,152,11049.93821
16,SR-17,71.424,175.9307301,1.063250883,152,10793.31396
17,SR-17,71.424,175.9307301,1.063250883,152,10702.7407
18,SR-17,71.424,175.9307301,1.063250883,152,11321.658
19,SR-17,71.424,176.2208055,1.063250883,152,11623.56888
20,SR-17,71.424,175.6406547,1.063250883,152,11502.80453
21,SR-17,71.424,175.6406547,1.063250883,152,10868.79168
22,SR-17,71.424,176.0757678,1.063250883,152,10702.7407
23,SR-17,71.424,176.0757678,1.063250883,152,10989.55603
24,SR-17,71.424,175.9307301,1.063250883,152,11532.99562
25,SR-17,71.424,181.5872004,0.929328622,150,12378.34608
26,SR-17,71.424,181.4421627,0.929328622,150,12317.9639
27,SR-17,71.424,181.4421627,0.929328622,150,12287.77282
28,SR-17,71.424,181.8772758,0.929328622,150,12287.77282
29,SR-17,71.424,181.8772758,0.929328622,150,12317.9639
30,SR-17,71.424,181.4421627,0.929328622,150,12438.72826
31,SR-17,71.424,181.8772758,0.929328622,150,12468.91934
32,SR-17,71.424,181.8772758,0.929328622,150,12484.01489
33,SR-17,71.424,181.4421627,0.929328622,150,12484.01489
34,SR-17,71.424,181.5872004,0.929328622,150,12468.91934
35,SR-17,71.424,181.8772758,0.929328622,150,12438.72826
36,SR-17,71.424,181.5872004,0.929328622,150,12438.72826
37,SR-17,71.424,182.0223135,0.929328622,150,12544.39706
38,SR-17,71.424,181.5872004,0.929328622,150,12725.54359
39,SR-17,71.424,181.297125,0.929328622,150,12785.92577
40,SR-17,71.424,181.8772758,0.929328622,150,12831.2124
41,SR-17,71.424,182.0223135,0.929328622,150,12785.92577
42,SR-17,71.424,182.0223135,0.929328622,150,12801.02131
43,SR-17,71.424,181.8772758,0.929328622,150,12770.83022
44,SR-17,71.424,181.297125,0.929328622,150,12770.83022
45,SR-17,71.424,181.5872004,0.929328622,150,12514.20598
46,SR-17,71.424,181.297125,0.929328622,150,12423.63271
47,SR-17,71.424,181.1520873,0.929328622,150,12423.63271
48,SR-17,71.424,181.297125,0.929328622,150,12408.53717
49,SR-17,58.112,269.3350089,1.065724382,144,14038.85592
50,SR-17,58.112,269.1899712,1.065724382,144,13691.65841
51,SR-17,58.112,269.6250843,1.065724382,144,13706.75395
52,SR-17,58.112,269.6250843,1.065724382,144,13691.65841
53,SR-17,58.112,269.6250843,1.065724382,144,13721.8495
54,SR-17,58.112,269.3350089,1.065724382,144,13706.75395
55,SR-17,58.112,269.1899712,1.065724382,144,13691.65841
56,SR-17,58.112,268.8998958,1.065724382,144,13706.75395
57,SR-17,58.112,269.6250843,1.065724382,144,13706.75395
58,SR-17,58.112,269.6250843,1.065724382,144,13691.65841
59,SR-17,58.112,269.0449335,1.065724382,144,13706.75395
60,SR-17,58.112,269.4800466,1.065724382,144,13691.65841
61,SR-17,58.112,269.1899712,1.065724382,144,13691.65841
62,SR-17,58.112,269.1899712,1.065724382,144,13691.65841
63,SR-17,58.112,269.1899712,1.065724382,144,13691.65841
64,SR-17,58.112,269.1899712,1.065724382,144,13676.56286
65,SR-17,58.112,268.7548581,1.065724382,144,13691.65841
66,SR-17,58.112,269.3350089,1.065724382,144,13691.65841
67,SR-17,58.112,268.6098204,1.065724382,144,13676.56286
68,SR-17,58.112,268.4647827,1.065724382,144,13676.56286
69,SR-17,58.112,269.6250843,1.065724382,144,13691.65841
70,SR-17,58.112,268.1747073,1.065724382,144,13676.56286
71,SR-17,58.112,268.319745,1.065724382,144,13691.65841
72,SR-17,58.112,269.1899712,1.065724382,144,13661.46732
73,SR-17,70.912,183.0375774,1.05795053,157,11683.95106
74,SR-17,70.912,183.4726905,1.05795053,157,11789.61986
75,SR-17,70.912,183.6177282,1.05795053,157,11789.61986
76,SR-17,70.912,183.0375774,1.05795053,157,11774.52432
77,SR-17,70.912,182.8925397,1.05795053,157,11774.52432
78,SR-17,70.912,183.6177282,1.05795053,157,11789.61986
79,SR-17,70.912,183.0375774,1.05795053,157,11819.81095
80,SR-17,70.912,182.8925397,1.05795053,157,11774.52432
81,SR-17,70.912,182.8925397,1.05795053,157,11774.52432
82,SR-17,70.912,183.4726905,1.05795053,157,11774.52432
83,SR-17,70.912,183.1826151,1.05795053,157,11774.52432
84,SR-17,70.912,183.1826151,1.05795053,157,11774.52432
85,SR-17,70.912,183.1826151,1.05795053,157,11774.52432
86,SR-17,70.912,182.8925397,1.05795053,157,11774.52432
87,SR-17,70.912,183.1826151,1.05795053,157,11774.52432
88,SR-17,70.912,183.0375774,1.05795053,157,11774.52432
89,SR-17,70.912,183.6177282,1.05795053,157,11925.47976
90,SR-17,70.912,183.0375774,1.05795053,157,11774.52432
91,SR-17,70.912,183.4726905,1.05795053,157,11759.42878
92,SR-17,70.912,182.8925397,1.05795053,157,11789.61986
93,SR-17,70.912,182.8925397,1.05795053,157,11774.52432
94,SR-17,70.912,182.747502,1.05795053,157,11804.71541
95,SR-17,70.144,182.8925397,1.061484099,166,12167.00846
96,SR-17,70.144,182.6024643,1.061484099,166,12287.77282
97,SR-17,70.144,182.6024643,1.061484099,166,12167.00846
98,SR-17,70.144,182.6024643,1.061484099,166,12106.62629
99,SR-17,70.144,182.747502,1.061484099,166,12106.62629
100,SR-17,70.144,182.0223135,1.061484099,166,12076.4352
101,SR-17,70.144,182.8925397,1.061484099,166,12000.95748
102,SR-17,70.144,182.747502,1.061484099,166,12061.33966
103,SR-17,70.144,182.747502,1.061484099,166,11865.09758
104,SR-17,70.144,182.6024643,1.061484099,166,11774.52432
105,SR-17,70.144,182.6024643,1.061484099,166,11472.61344
106,SR-17,70.144,182.8925397,1.061484099,166,11140.51147
107,SR-17,70.144,182.747502,1.061484099,166,11215.98919
108,SR-17,70.144,182.4574266,1.061484099,166,11261.27582
109,SR-17,70.144,182.747502,1.061484099,166,11291.46691
110,SR-17,70.144,182.6024643,1.061484099,166,11276.37137
111,SR-17,70.144,182.3123889,1.061484099,166,11306.56246
112,SR-17,70.144,182.747502,1.061484099,166,11306.56246
113,SR-17,70.144,182.4574266,1.061484099,166,11306.56246
114,SR-17,70.144,182.3123889,1.061484099,166,11306.56246
115,SR-17,70.144,182.0223135,1.061484099,166,11291.46691
116,SR-17,70.144,182.4574266,1.061484099,166,11306.56246
117,SR-17,70.144,182.4574266,1.061484099,166,11261.27582
118,SR-17,70.144,182.3123889,1.061484099,166,11276.37137
119,SR-17,70.144,179.1215595,1.069257951,158,11412.23126
120,SR-17,70.144,178.8314841,1.069257951,158,11593.37779
121,SR-17,70.144,178.6864464,1.069257951,158,11412.23126
122,SR-17,70.144,178.6864464,1.069257951,158,11442.42235
123,SR-17,70.144,178.9765218,1.069257951,158,11427.32681
124,SR-17,70.144,178.6864464,1.069257951,158,11382.04018
125,SR-17,70.144,178.9765218,1.069257951,158,11382.04018
126,SR-17,70.144,179.2665972,1.069257951,158,11382.04018
127,SR-17,70.144,179.846748,1.069257951,158,11351.84909
128,SR-17,70.144,179.7017103,1.069257951,158,11382.04018
129,SR-17,70.144,179.4116349,1.069257951,158,11351.84909
130,SR-17,70.144,179.2665972,1.069257951,158,11382.04018
131,SR-17,70.144,178.9765218,1.069257951,158,11382.04018
132,SR-17,70.144,179.5566726,1.069257951,158,11382.04018
133,SR-17,70.144,179.5566726,1.069257951,158,11366.94463
134,SR-17,70.144,178.9765218,1.069257951,158,11321.658
135,SR-17,70.144,178.9765218,1.069257951,158,11351.84909
136,SR-17,70.144,179.2665972,1.069257951,158,11321.658
137,SR-17,70.144,179.4116349,1.069257951,158,11306.56246
138,SR-17,70.144,179.1215595,1.069257951,158,11321.658
139,SR-17,70.144,179.4116349,1.069257951,158,11321.658
140,SR-17,70.144,179.5566726,1.069257951,158,11608.47334
141,SR-17,70.144,179.4116349,1.069257951,158,11623.56888
142,SR-17,70.144,179.1215595,1.069257951,158,11095.22484
143,SR-17,70.144,178.2513333,1.069469965,171,11049.93821
144,SR-17,70.144,178.1062956,1.069469965,171,10974.46049
145,SR-17,70.144,178.6864464,1.069469965,171,11261.27582
146,SR-17,70.144,177.9612579,1.069469965,171,10944.2694
147,SR-17,70.144,177.3811071,1.069469965,171,11170.70256
148,SR-17,70.144,178.396371,1.069469965,171,11065.03375
149,SR-17,70.144,178.8314841,1.069469965,171,11080.1293
150,SR-17,70.144,178.6864464,1.069469965,171,11110.32038
151,SR-17,70.144,177.9612579,1.069469965,171,11095.22484
152,SR-17,70.144,177.9612579,1.069469965,171,11110.32038
153,SR-17,70.144,178.2513333,1.069469965,171,11125.41593
